Year,State,Industry,Study_Level,Employment_Type,Nationality,Gender,Student_Count,Visa_Applications,Post_Study_Work,Job_Placement,Skilled_Visa,PR_Grant,Employment_Rate,Job_Achieved_Pct,Salary,Migration_Reason,Left_Australia
2022,NSW,Health,PG-R,CAS,Indonesia,Male,377,878,154,43,69,34,95.0,48.39,32141,Financial Pressures,0
2022,NSW,Health,PG-R,CAS,Indonesia,Female,111,231,138,71,98,22,95.0,59.76,42356,Financial Pressures,0
2022,NSW,Health,PG-R,CAS,Indonesia,Others,402,122,112,172,34,21,95.0,57.28,31690,Job Opportunities in Home Country,1
2022,NSW,Health,PG-R,CAS,Vietnam,Male,484,138,228,227,15,71,90.66,33.04,50910,Job Opportunities in Home Country,0
2022,NSW,Health,PG-R,CAS,Vietnam,Female,280,519,206,67,66,31,94.67,24.91,32014,Lack of Job Opportunities,1
2022,NSW,Health,PG-R,CAS,Vietnam,Others,172,941,146,147,47,17,72.82,46.85,58448,Visa Issues,0
2022,NSW,STEM,UG,FT,Italy,Male,60,353,123,133,47,10,79.23,63.83,56932,Lack of Job Opportunities,0
2022,NSW,STEM,UG,FT,Italy,Female,495,309,266,140,69,47,95.0,68.7,131573,Job Opportunities in Home Country,1
2022,NSW,STEM,UG,FT,Italy,Others,155,703,80,151,18,55,90.3,86.15,58556,Financial Pressures,0
2022,NSW,STEM,UG,FT,Germany,Male,351,712,198,119,45,58,93.64,43.96,117808,Financial Pressures,0
2022,NSW,STEM,UG,FT,Germany,Female,198,530,250,82,18,78,92.49,32.17,69869,Financial Pressures,0
2022,NSW,STEM,UG,FT,Germany,Others,74,701,124,67,11,11,77.45,58.55,97642,Financial Pressures,0
2022,NSW,STEM,UG,FT,India,Male,300,278,231,181,34,75,71.46,45.68,109488,Migration Pathway Issues,1
2022,NSW,STEM,UG,FT,India,Female,199,765,205,143,94,53,71.88,91.57,113808,Visa Issues,0
2022,NSW,STEM,UG,FT,India,Others,112,800,153,78,80,5,76.23,63.67,56978,Financial Pressures,1
2022,NSW,STEM,UG,PT,South Korea,Male,162,213,271,195,60,67,69.4,55.05,34405,Financial Pressures,0
2022,NSW,STEM,UG,PT,South Korea,Female,415,261,173,116,64,36,89.63,69.65,60064,Financial Pressures,0
2022,NSW,STEM,UG,PT,South Korea,Others,377,153,298,96,60,12,69.28,50.94,46093,Financial Pressures,1
2022,NSW,STEM,UG,PT,Italy,Male,214,281,262,171,64,52,68.87,71.92,36619,Job Opportunities in Home Country,0
2022,NSW,STEM,UG,PT,Italy,Female,430,647,78,217,91,6,95.0,71.52,36215,Lack of Job Opportunities,0
2022,NSW,STEM,UG,PT,Italy,Others,168,495,69,34,46,42,91.54,59.14,64510,Visa Issues,0
2022,NSW,STEM,UG,PT,UK,Male,391,463,73,110,83,34,82.09,60.19,49559,Migration Pathway Issues,0
2022,NSW,STEM,UG,PT,UK,Female,258,625,58,69,75,29,74.51,34.7,58016,Visa Issues,0
2022,NSW,STEM,UG,PT,UK,Others,78,208,147,244,46,79,93.15,47.88,49946,Migration Pathway Issues,0
2022,NSW,STEM,UG,CAS,UK,Male,268,267,147,41,62,75,84.92,58.29,37186,Lack of Job Opportunities,0
2022,NSW,STEM,UG,CAS,UK,Female,179,921,156,222,60,57,85.9,38.28,51246,Financial Pressures,0
2022,NSW,STEM,UG,CAS,UK,Others,213,212,236,68,63,59,87.9,61.62,33396,Lack of Job Opportunities,0
2022,NSW,STEM,UG,CAS,Vietnam,Male,197,566,276,110,71,77,91.44,26.88,30024,Migration Pathway Issues,0
2022,NSW,STEM,UG,CAS,Vietnam,Female,110,715,91,54,48,39,93.03,45.58,32790,Lack of Job Opportunities,0
2022,NSW,STEM,UG,CAS,Vietnam,Others,150,143,236,78,70,21,95.0,36.04,51067,Visa Issues,0
2022,NSW,STEM,UG,CAS,South Korea,Male,265,438,57,178,90,74,95.0,80.65,36468,Lack of Job Opportunities,0
2022,NSW,STEM,UG,CAS,South Korea,Female,450,893,262,115,16,18,69.98,72.9,28061,Lack of Job Opportunities,0
2022,NSW,STEM,UG,CAS,South Korea,Others,131,322,271,145,48,22,83.24,69.0,59955,Financial Pressures,0
2022,NSW,STEM,PG-C,FT,Pakistan,Male,446,821,210,45,51,70,66.81,79.15,89316,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-C,FT,Pakistan,Female,465,707,276,152,48,50,77.57,74.52,128299,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-C,FT,Pakistan,Others,321,539,285,150,19,34,79.79,58.96,69211,Migration Pathway Issues,0
2022,NSW,STEM,PG-C,FT,Malaysia,Male,52,528,191,149,39,72,89.61,66.51,123330,Migration Pathway Issues,1
2022,NSW,STEM,PG-C,FT,Malaysia,Female,122,498,98,150,97,72,73.2,82.75,108034,Financial Pressures,0
2022,NSW,STEM,PG-C,FT,Malaysia,Others,344,539,112,75,97,15,95.0,84.51,83114,Visa Issues,0
2022,NSW,STEM,PG-C,FT,Thailand,Male,121,759,142,92,63,78,67.55,57.28,86851,Lack of Job Opportunities,1
2022,NSW,STEM,PG-C,FT,Thailand,Female,311,616,54,83,56,53,83.1,66.88,90538,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-C,FT,Thailand,Others,468,789,131,91,26,7,92.92,50.1,62744,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-C,PT,Malaysia,Male,275,431,219,38,88,44,95.0,73.08,42335,Visa Issues,0
2022,NSW,STEM,PG-C,PT,Malaysia,Female,377,350,182,205,99,22,68.67,49.91,28812,Visa Issues,0
2022,NSW,STEM,PG-C,PT,Malaysia,Others,130,213,89,74,71,62,84.85,69.8,70031,Financial Pressures,1
2022,NSW,STEM,PG-C,PT,Germany,Male,338,361,265,176,89,44,74.09,37.66,46878,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-C,PT,Germany,Female,219,455,240,184,47,64,71.23,63.71,71732,Migration Pathway Issues,0
2022,NSW,STEM,PG-C,PT,Germany,Others,72,525,187,189,62,34,95.0,32.04,56307,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-C,PT,Italy,Male,344,323,62,75,36,21,69.82,59.8,49387,Job Opportunities in Home Country,1
2022,NSW,STEM,PG-C,PT,Italy,Female,375,566,207,228,83,67,78.94,50.48,42996,Job Opportunities in Home Country,1
2022,NSW,STEM,PG-C,PT,Italy,Others,453,963,277,97,73,21,91.44,75.48,32446,Migration Pathway Issues,0
2022,NSW,STEM,PG-C,CAS,Germany,Male,128,558,107,244,35,50,81.46,65.99,25770,Migration Pathway Issues,0
2022,NSW,STEM,PG-C,CAS,Germany,Female,424,896,206,104,41,6,91.5,40.28,33521,Financial Pressures,1
2022,NSW,STEM,PG-C,CAS,Germany,Others,285,539,141,50,56,63,95.0,59.36,38598,Financial Pressures,0
2022,NSW,STEM,PG-C,CAS,Italy,Male,107,991,215,44,43,65,72.61,83.02,35692,Visa Issues,0
2022,NSW,STEM,PG-C,CAS,Italy,Female,121,159,223,246,26,57,71.07,63.44,37854,Financial Pressures,1
2022,NSW,STEM,PG-C,CAS,Italy,Others,477,792,73,89,12,24,92.29,64.75,28268,Visa Issues,0
2022,NSW,STEM,PG-C,CAS,Malaysia,Male,58,777,225,217,72,6,92.32,53.97,52556,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-C,CAS,Malaysia,Female,369,437,159,124,47,36,87.68,74.07,48098,Migration Pathway Issues,0
2022,NSW,STEM,PG-C,CAS,Malaysia,Others,263,790,137,70,26,50,70.7,62.45,46894,Migration Pathway Issues,0
2022,NSW,STEM,PG-R,FT,Italy,Male,152,293,215,132,99,50,88.88,80.81,132769,Visa Issues,0
2022,NSW,STEM,PG-R,FT,Italy,Female,366,734,183,38,15,77,67.72,67.58,131857,Visa Issues,1
2022,NSW,STEM,PG-R,FT,Italy,Others,227,959,111,113,71,11,87.81,68.13,67984,Lack of Job Opportunities,1
2022,NSW,STEM,PG-R,FT,Nepal,Male,432,614,176,70,69,18,68.69,44.85,66391,Visa Issues,0
2022,NSW,STEM,PG-R,FT,Nepal,Female,350,342,171,176,64,49,72.01,79.31,138391,Financial Pressures,0
2022,NSW,STEM,PG-R,FT,Nepal,Others,451,822,199,66,65,63,87.46,51.43,108600,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-R,FT,Thailand,Male,256,452,184,105,58,35,79.72,78.08,111490,Visa Issues,1
2022,NSW,STEM,PG-R,FT,Thailand,Female,431,631,237,181,59,53,82.96,66.46,85019,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-R,FT,Thailand,Others,277,677,128,191,45,10,87.62,84.65,108289,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-R,PT,South Korea,Male,424,392,118,195,50,66,69.21,58.23,69081,Migration Pathway Issues,0
2022,NSW,STEM,PG-R,PT,South Korea,Female,280,937,194,152,98,32,74.52,69.55,35256,Visa Issues,0
2022,NSW,STEM,PG-R,PT,South Korea,Others,350,402,80,168,19,71,80.59,54.89,69756,Lack of Job Opportunities,0
2022,NSW,STEM,PG-R,PT,Brazil,Male,410,356,182,49,17,47,95.0,51.36,69981,Visa Issues,0
2022,NSW,STEM,PG-R,PT,Brazil,Female,470,786,278,233,46,53,93.86,76.26,67367,Visa Issues,0
2022,NSW,STEM,PG-R,PT,Brazil,Others,453,981,127,159,82,41,95.0,41.77,50418,Financial Pressures,0
2022,NSW,STEM,PG-R,PT,Malaysia,Male,294,158,118,190,60,16,70.9,84.4,27743,Financial Pressures,0
2022,NSW,STEM,PG-R,PT,Malaysia,Female,266,405,78,214,48,60,83.01,62.0,34269,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-R,PT,Malaysia,Others,483,845,173,148,17,5,90.12,47.03,35201,Job Opportunities in Home Country,1
2022,NSW,STEM,PG-R,CAS,USA,Male,394,913,245,62,10,23,95.0,65.63,43644,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-R,CAS,USA,Female,495,319,243,221,79,67,95.0,49.56,58730,Migration Pathway Issues,0
2022,NSW,STEM,PG-R,CAS,USA,Others,208,588,252,97,13,23,92.66,63.16,35213,Job Opportunities in Home Country,1
2022,NSW,STEM,PG-R,CAS,Germany,Male,393,921,248,118,94,19,86.8,53.95,27054,Financial Pressures,0
2022,NSW,STEM,PG-R,CAS,Germany,Female,466,404,273,64,53,15,85.91,56.06,52616,Lack of Job Opportunities,0
2022,NSW,STEM,PG-R,CAS,Germany,Others,52,184,75,101,57,70,81.81,32.92,23088,Migration Pathway Issues,0
2022,NSW,STEM,PG-R,CAS,Nepal,Male,353,392,256,73,24,47,91.24,80.41,52444,Visa Issues,1
2022,NSW,STEM,PG-R,CAS,Nepal,Female,70,506,156,109,56,19,74.03,85.8,45190,Job Opportunities in Home Country,0
2022,NSW,STEM,PG-R,CAS,Nepal,Others,324,901,127,154,77,56,88.11,85.92,29234,Financial Pressures,0
2022,NSW,Social Sc.,UG,FT,USA,Male,120,411,290,199,70,46,83.16,50.24,68579,Migration Pathway Issues,0
2022,NSW,Social Sc.,UG,FT,USA,Female,222,461,96,152,22,26,80.35,67.82,116699,Migration Pathway Issues,0
2022,NSW,Social Sc.,UG,FT,USA,Others,427,732,174,199,81,28,67.07,43.06,94901,Visa Issues,0
2022,NSW,Social Sc.,UG,FT,Vietnam,Male,68,711,109,196,83,22,78.85,28.04,131009,Migration Pathway Issues,1
2022,NSW,Social Sc.,UG,FT,Vietnam,Female,275,772,168,178,90,26,57.67,41.33,94506,Financial Pressures,0
2022,NSW,Social Sc.,UG,FT,Vietnam,Others,127,176,234,182,11,68,60.89,42.77,92540,Job Opportunities in Home Country,1
2022,NSW,Social Sc.,UG,FT,South Korea,Male,290,558,280,53,69,50,59.97,72.6,91208,Job Opportunities in Home Country,0
2022,NSW,Social Sc.,UG,FT,South Korea,Female,281,840,146,193,12,77,66.22,50.2,135610,Visa Issues,0
2022,NSW,Social Sc.,UG,FT,South Korea,Others,365,741,237,34,53,31,75.24,52.2,95404,Lack of Job Opportunities,0
2022,NSW,Social Sc.,UG,PT,Vietnam,Male,335,215,57,179,53,62,84.29,28.73,33316,Migration Pathway Issues,0
2022,NSW,Social Sc.,UG,PT,Vietnam,Female,155,545,207,150,64,20,57.04,32.12,39062,Visa Issues,0
2022,NSW,Social Sc.,UG,PT,Vietnam,Others,79,336,72,121,14,69,81.0,38.07,60764,Migration Pathway Issues,0
2022,NSW,Social Sc.,UG,PT,USA,Male,87,599,275,171,45,27,64.5,47.78,48351,Financial Pressures,0
2022,NSW,Social Sc.,UG,PT,USA,Female,498,942,116,209,71,27,83.86,67.41,66270,Visa Issues,1
2022,NSW,Social Sc.,UG,PT,USA,Others,61,338,98,71,47,49,67.85,67.58,64880,Financial Pressures,1
2022,NSW,Social Sc.,UG,PT,Thailand,Male,485,625,122,172,30,39,61.95,71.27,70745,Visa Issues,0
2022,NSW,Social Sc.,UG,PT,Thailand,Female,315,636,243,54,63,37,83.3,61.92,45633,Job Opportunities in Home Country,0
2022,NSW,Social Sc.,UG,PT,Thailand,Others,474,124,190,146,17,25,57.74,46.08,54995,Job Opportunities in Home Country,0
2022,NSW,Social Sc.,UG,CAS,India,Male,394,741,175,40,59,35,76.81,92.69,52237,Migration Pathway Issues,0
2022,NSW,Social Sc.,UG,CAS,India,Female,378,255,239,144,16,20,58.78,69.22,49912,Migration Pathway Issues,0
2022,NSW,Social Sc.,UG,CAS,India,Others,429,919,270,81,45,42,69.14,50.47,38686,Job Opportunities in Home Country,0
2022,NSW,Social Sc.,UG,CAS,Thailand,Male,204,191,263,43,80,9,57.31,58.73,25774,Job Opportunities in Home Country,1
2022,NSW,Social Sc.,UG,CAS,Thailand,Female,363,987,216,162,74,17,57.35,50.85,50766,Job Opportunities in Home Country,1
2022,NSW,Social Sc.,UG,CAS,Thailand,Others,222,771,213,238,69,15,69.95,78.0,37150,Lack of Job Opportunities,0
2022,NSW,Social Sc.,UG,CAS,Brazil,Male,83,663,161,111,61,33,70.09,75.33,49176,Migration Pathway Issues,0
2022,NSW,Social Sc.,UG,CAS,Brazil,Female,474,228,179,89,57,33,64.96,81.86,36836,Visa Issues,1
2022,NSW,Social Sc.,UG,CAS,Brazil,Others,333,814,296,63,17,63,69.83,50.21,59308,Visa Issues,0
2022,NSW,Social Sc.,PG-C,FT,China,Male,457,582,201,46,14,24,78.02,60.37,112026,Financial Pressures,1
2022,NSW,Social Sc.,PG-C,FT,China,Female,260,490,292,57,60,62,59.8,75.29,60527,Lack of Job Opportunities,0
2022,NSW,Social Sc.,PG-C,FT,China,Others,417,319,130,165,34,77,67.89,53.2,115175,Visa Issues,1
2022,NSW,Social Sc.,PG-C,FT,Brazil,Male,218,316,171,148,71,14,79.76,53.18,74584,Job Opportunities in Home Country,0
2022,NSW,Social Sc.,PG-C,FT,Brazil,Female,400,387,81,153,20,14,66.64,81.76,86167,Migration Pathway Issues,0
2022,NSW,Social Sc.,PG-C,FT,Brazil,Others,364,945,173,246,31,34,83.46,70.42,131935,Migration Pathway Issues,0
2022,NSW,Social Sc.,PG-C,FT,UK,Male,171,643,271,148,48,16,83.19,38.51,87653,Job Opportunities in Home Country,1
2022,NSW,Social Sc.,PG-C,FT,UK,Female,351,459,287,164,32,79,66.12,55.42,124454,Visa Issues,0
2022,NSW,Social Sc.,PG-C,FT,UK,Others,307,640,262,236,61,31,84.51,46.48,109783,Visa Issues,1
2022,NSW,Social Sc.,PG-C,PT,France,Male,278,210,185,135,67,20,80.13,51.36,56800,Migration Pathway Issues,0
2022,NSW,Social Sc.,PG-C,PT,France,Female,273,931,155,127,98,14,78.16,53.68,42299,Lack of Job Opportunities,0
2022,NSW,Social Sc.,PG-C,PT,France,Others,62,492,293,193,95,62,58.01,51.49,35366,Lack of Job Opportunities,1
2022,NSW,Social Sc.,PG-C,PT,China,Male,69,686,193,99,65,62,67.5,65.0,37988,Financial Pressures,0
2022,NSW,Social Sc.,PG-C,PT,China,Female,279,568,103,132,30,78,74.66,60.48,47309,Job Opportunities in Home Country,0
2022,NSW,Social Sc.,PG-C,PT,China,Others,168,682,53,43,12,62,73.0,70.45,33603,Lack of Job Opportunities,0
2022,NSW,Social Sc.,PG-C,PT,Malaysia,Male,452,258,237,89,28,53,75.14,46.7,56889,Job Opportunities in Home Country,1
2022,NSW,Social Sc.,PG-C,PT,Malaysia,Female,363,216,208,129,73,23,69.55,46.64,44312,Migration Pathway Issues,0
2022,NSW,Social Sc.,PG-C,PT,Malaysia,Others,195,930,165,142,56,79,77.91,53.47,62875,Visa Issues,0
2022,NSW,Social Sc.,PG-C,CAS,Brazil,Male,308,718,162,123,79,55,83.81,51.67,57776,Financial Pressures,0
2022,NSW,Social Sc.,PG-C,CAS,Brazil,Female,369,148,198,103,73,9,77.12,68.4,37154,Lack of Job Opportunities,1
2022,NSW,Social Sc.,PG-C,CAS,Brazil,Others,329,412,149,99,50,58,63.42,45.91,26368,Visa Issues,0
2022,NSW,Social Sc.,PG-C,CAS,Nepal,Male,85,824,207,181,39,11,64.04,84.82,31008,Lack of Job Opportunities,0
2022,NSW,Social Sc.,PG-C,CAS,Nepal,Female,231,717,266,234,79,48,61.46,82.31,23822,Lack of Job Opportunities,1
2022,NSW,Social Sc.,PG-C,CAS,Nepal,Others,490,632,245,207,42,11,59.46,53.19,26464,Financial Pressures,1
2022,NSW,Social Sc.,PG-C,CAS,Vietnam,Male,192,298,198,199,35,18,77.83,50.5,36614,Financial Pressures,1
2022,NSW,Social Sc.,PG-C,CAS,Vietnam,Female,470,404,196,144,98,16,66.96,27.08,26172,Job Opportunities in Home Country,0
2022,NSW,Social Sc.,PG-C,CAS,Vietnam,Others,376,697,296,62,90,28,60.27,47.22,34240,Financial Pressures,0
2022,NSW,Social Sc.,PG-R,FT,Vietnam,Male,106,165,123,127,25,55,75.55,38.73,142885,Visa Issues,0
2022,NSW,Social Sc.,PG-R,FT,Vietnam,Female,148,803,292,92,58,68,66.68,47.55,143886,Visa Issues,1
2022,NSW,Social Sc.,PG-R,FT,Vietnam,Others,263,754,169,242,88,18,63.81,36.18,76187,Visa Issues,1
2022,NSW,Social Sc.,PG-R,FT,Nepal,Male,496,165,202,160,81,48,72.35,65.52,79504,Visa Issues,0
2022,NSW,Social Sc.,PG-R,FT,Nepal,Female,428,277,220,176,78,55,62.57,50.82,112991,Visa Issues,1
2022,NSW,Social Sc.,PG-R,FT,Nepal,Others,213,584,134,101,64,13,68.29,85.24,99589,Lack of Job Opportunities,0
2022,NSW,Social Sc.,PG-R,FT,UK,Male,317,485,56,109,12,7,82.57,35.7,61955,Migration Pathway Issues,0
